FamilyName	Subfamily	Tribe	Genus	Species	HostFamily	HostGenus	HostSpecies	HostCommonName
Aphididae	Thelaxinae	Thelaxinae_none	Thelaxes	californica	Fagaceae	Quercus	sp	oak
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Pacificallis)	quercifolii	Fagaceae	Quercus	sp	oak
Miridae	Deraeocorinae	Deraeocorini	Eurychilopterella	pacifica	Fagaceae	Quercus	sp	NULL
Membracidae	Smiliinae	Smiliini	Telamonanthe	pulchella	Fagaceae	Quercus	sp	NULL
Membracidae	Smiliinae	Telamonini	Telamona	decorata	Fagaceae	Quercus	alba	NULL
Membracidae	Membracinae	Hoplophorionini	Platycotis	vittata				pin oak
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Pacificallis)	maureri	Fagaceae	Quercus	sp	oak
Aleyrodidae	Aleyrodinae	Aleyrodinae_none	Tetraleurodes	sp	Fagaceae	Quercus	sp	Coast Live Oak
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Pacificallis)	quercifolii	Fagaceae	Quercus	dumosa	California scrub oak
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Pacificallis)	quercifolii	Fagaceae	Quercus	chrysolepis	Canyon Live Oak
Miridae	Phylinae	Phylini	Tuxedo	cruralis	Fagaceae	Quercus	sp	NULL
Miridae	Mirinae	Mirini	Irbisia	solani	Fagaceae	Quercus		NULL
Miridae	Phylinae	Phylini	Pseudatomoscelis	seriatus	Fagaceae			oak
Miridae	Phylinae	Phylini	Tuxedo	flavicollis	Fagaceae	Quercus	garryana	NULL
Miridae	Mirinae	Mirini	Phytocoris	fuscipennis	Fagaceae	Quercus	sp	NULL
Aphididae	Phyllaphidinae	Phyllaphidinae_none	Stegophylla	sp	Fagaceae	Quercus	lobata	Valley oak
Aphididae	Phyllaphidinae	Phyllaphidinae_none	Stegophylla	quercifoliae	Fagaceae	Quercus	lobata	Valley oak
Pentatomidae	Pentatominae	Pentatomini	Cosmopepla	conspicillaris	Fagaceae	Quercus	sp	NULL
Miridae	Phylinae	Phylini	Ceratopsallus	aquilonius	Fagaceae	Quercus	douglasii	NULL
Miridae	Phylinae	Phylini	Plagiognathus	verticalis	Fagaceae	Quercus	douglasii	NULL
Miridae	Mirinae	Mirini	Ectopiocerus	anthracinus	Fagaceae	Quercus	wislizeni	NULL
Miridae	Orthotylinae	Orthotylini	Lopidea	marginata	Fagaceae	Quercus	wislizeni	NULL
Miridae	Mirinae	Herdoniini	Dacerla	mediospinosa	Fagaceae	Quercus	wislizeni	NULL
Miridae	Phylinae	Phylini	Pygovepres	vaccinicola	Fagaceae	Quercus	kellogii	NULL
Miridae	Mirinae	Herdoniini	Dacerla	alata				oak
Miridae	Deraeocorinae	Deraeocorini	Deraeocoris	sp				black oak
Miridae	Phylinae	Phylini	Pygovepres	vaccinicola				black oak
Aleyrodidae	Aleyrodinae	Aleyrodinae_none	Trialeurodes	vaporariorum	Fagaceae	Quercus	ilex	Holly Oak
Miridae	Mirinae	Mirini	Phytocoris	sewardi	Fagaceae	Quercus	vaccinifolia	huckleberry oak
Miridae	Phylinae	Phylini	Oligotylus	ceanothi	Fagaceae	Quercus	sp	NULL
Miridae	Phylinae	Phylini	Quernocoris	caliginosus	Fagaceae	Quercus	kellogii	NULL
Aphididae	Calaphidinae	Panaphidini	Neosymydobius	agrifoliae	Fagaceae	Quercus	agrifolia	NULL
Aphididae	Thelaxinae	Thelaxinae_none	Thelaxes	sp	Fagaceae	Quercus	kelloggii	black oak
Membracidae	Smiliinae	Smiliini	Cyrtolobus	vanduzii	Fagaceae	Quercus		oak
Miridae	Phylinae	Phylini	Ceratopsallus	pantherinus	Fagaceae	Quercus	lobata	NULL
Aphididae	Calaphidinae	Panaphidini	Myzocallis (Neomyzocallis)	discolor	Fagaceae	Quercus	sp	oak
Miridae	Orthotylinae	Ceratocapsini	Pamilla	behrensi	Fagaceae	Quercus	lobata	NULL
Aphididae	Chaitophorinae	Chaitophorini	Chaitophorus	sp	Fagaceae	Quercus	wislizeni	Sierra Live Oak
Aphididae	Phyllaphidinae	Phyllaphidinae_none	Stegophylla	quercifoliae	Fagaceae	Quercus	wislizeni	interior live oak
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Tuberculoides)	sp	Fagaceae	Quercus	chrysolepis	Canyon Live Oak
Aphididae	Calaphidinae	Panaphidini	Tuberculatus	sp	Fagaceae	Quercus	ilex	Holly Oak
Aphididae	Calaphidinae	Panaphidini	Myzocallis (Callifornicallis)	agrifolicola	Fagaceae	Quercus	agrifolia	Coast Live Oak
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Pacificallis)	californicus	Fagaceae	Quercus	dumosa	California scrub oak
Aphididae	Aphidinae	Macrosiphini	Uroleucon (Lambersius)	sp	Fagaceae	Quercus	wislizeni	Sierra Live Oak
Aphididae	Calaphidinae	Panaphidini	Tuberculatus	sp	Fagaceae	Quercus	lobata	Valley oak
Membracidae	Smiliinae	Smiliini	Cyrtolobus	acutus	Fagaceae	Quercus	gambelii	NULL
Membracidae	Smiliinae	Smiliini	Cyrtolobus	sp	Fagaceae	Quercus	gambelii	NULL
Membracidae	Smiliinae	Smiliini	Ophiderma	pubescens	Fagaceae	Quercus		oak
Pentatomidae	Pentatominae	Pentatomini	Euschistus	inflatus	Fagaceae	Quercus	gambelii	Gambel oak
Cicadidae	Tibicininae	Platypediini	Platypedia	sp	Fagaceae	Quercus	gambelii	Gambel oak
Pentatomidae	Asopinae	Asopini	Podisus	placidus	Fagaceae	Quercus		oak
Miridae	Deraeocorinae	Deraeocorini	Deraeocoris	sp				scrub oak
Miridae	Phylinae	Pilophorini	Pilophorus	sp	Fagaceae	Quercus		NULL
Aphididae	Calaphidinae	Panaphidini	Hoplochaitophorus	quercicola	Fagaceae	Quercus	gambelii	Gambel oak
Pentatomidae	Pentatominae	Pentatomini	Dendrocoris	humeralis	Fagaceae	Quercus	gambelii	Gambel oak
Miridae	Phylinae	Phylini	Bisulcopsallus	polhemorum	Fagaceae	Quercus	gambelii	NULL
Miridae	Deraeocorinae	Deraeocorini	Deraeocoris	quercicola	Fagaceae	Quercus	gambelii	NULL
Miridae	Orthotylinae	Ceratocapsini	Ceratocapsus	fusiformis	Fagaceae	Quercus	gambelii	Gambel oak
Membracidae	Smiliinae	Telamonini	Palonica	pyramidata	Fagaceae	Quercus	sp	NULL
Membracidae	Smiliinae	Smiliini	Telamonanthe	rileyi	Fagaceae	Quercus	sp	NULL
Membracidae	Smiliinae	Smiliini	Cyrtolobus	maculifrontis	Fagaceae	Quercus	sp	NULL
Miridae	Mirinae	Mirini	Phytocoris	kiowa	Fagaceae	Quercus	sp	NULL
Membracidae	Smiliinae	Smiliini	Cyrtolobus	limus	Fagaceae	Quercus	gambelii	Gambel oak
Membracidae	Smiliinae	Smiliini	Glossonotus	univittatus	Fagaceae	Quercus	gambelii	Gambel oak
Membracidae	Stegaspidinae	Microcentrini	Microcentrus	perditus	Fagaceae	Quercus	gambelii	Gambel oak
Membracidae	Stegaspidinae	Microcentrini	Microcentrus	perditus	Fagaceae	Quercus		oak
Miridae	Orthotylinae	Ceratocapsini	Ceratocapsus	fusiformis				oak
Miridae	Orthotylinae	Ceratocapsini	Ceratocapsus	denticulatus				oak
Miridae	Orthotylinae	Ceratocapsini	Ceratocapsus	denticulatus				Gambel oak
Miridae	Orthotylinae	Ceratocapsini	Ceratocapsus	denticulatus	Fagaceae	Quercus	sp	NULL
Membracidae	Smiliinae	Smiliini	Cyrtolobus	limus	Fagaceae	Quercus	gambelii	NULL
Membracidae	Smiliinae	Smiliini	Cyrtolobus	acutus	Fagaceae	Quercus		oak
Membracidae	Smiliinae	Smiliini	Telamonanthe	pulchella	Fagaceae	Quercus	sp	oak
Aphididae	Calaphidinae	Panaphidini	Myzocallis (Neomyzocallis)	punctata	Fagaceae	Quercus		oak
Aphididae	Phyllaphidinae	Phyllaphidinae_none	Stegophylla	quercifoliae	Fagaceae	Quercus		scrub oak
Miridae	Mirinae	Mirini	Phytocoris	cercocarpi	Fagaceae	Quercus	gambelii	NULL
Miridae	Phylinae	Pilophorini	Pilophorus	vicarius	Fagaceae	Quercus	gambelii	NULL
Miridae	Mirinae	Mirini	Phytocoris	inops	Fagaceae	Quercus	gambelii	NULL
